Name,NACA 2412 Airfoil M=2.0% P=40.0% T=12.0%,,,,,,,,
Chord(mm),100,,,,,,,,
Radius(mm),0,,,,,,,,
Thickness(%),100,,,,,,,,
Origin(%),0,,,,,,,,
Pitch(deg),0,,,,,,,,
,,,,,,,,,
Airfoil surface,,,,,,,x,y,z
0.2223,-0.6689,,,,1,42,0.222,-0.669,0.000
0.7479,-1.2828,,,,1,43,0.748,-1.283,0.000
1.5723,-1.8404,,,,1,44,1.572,-1.840,0.000
2.6892,-2.3408,,,,1,45,2.689,-2.341,0.000
4.0906,-2.7826,,,,1,46,4.091,-2.783,0.000
5.7669,-3.1651,,,,1,47,5.767,-3.165,0.000
7.7071,-3.4878,,,,1,48,7.707,-3.488,0.000
9.8987,-3.7507,,,,1,49,9.899,-3.751,0.000
12.3281,-3.9546,,,,1,50,12.328,-3.955,0.000
14.9805,-4.1013,,,,1,51,14.981,-4.101,0.000
17.8401,-4.1934,,,,1,52,17.840,-4.193,0.000
20.8902,-4.2346,,,,1,53,20.890,-4.235,0.000
24.1131,-4.2294,,,,1,54,24.113,-4.229,0.000
27.4904,-4.1834,,,,1,55,27.490,-4.183,0.000
31.0028,-4.1027,,,,1,56,31.003,-4.103,0.000
34.6303,-3.9941,,,,1,57,34.630,-3.994,0.000
38.3522,-3.8644,,,,1,58,38.352,-3.864,0.000
42.1644,-3.7174,,,,1,59,42.164,-3.717,0.000
46.0397,-3.5444,,,,1,60,46.040,-3.544,0.000
49.9412,-3.3493,,,,1,61,49.941,-3.349,0.000
53.8451,-3.1373,,,,1,62,53.845,-3.137,0.000
57.7279,-2.9138,,,,1,63,57.728,-2.914,0.000
61.5658,-2.6833,,,,1,64,61.566,-2.683,0.000
65.3352,-2.45,,,,1,65,65.335,-2.450,0.000
69.0129,-2.2172,,,,1,66,69.013,-2.217,0.000
72.5762,-1.988,,,,1,67,72.576,-1.988,0.000
76.0029,-1.7649,,,,1,68,76.003,-1.765,0.000
79.2716,-1.5499,,,,1,69,79.272,-1.550,0.000
82.3619,-1.3448,,,,1,70,82.362,-1.345,0.000
85.2541,-1.151,,,,1,71,85.254,-1.151,0.000
87.9302,-0.9701,,,,1,72,87.930,-0.970,0.000
90.373,-0.8033,,,,1,73,90.373,-0.803,0.000
92.5669,-0.652,,,,1,74,92.567,-0.652,0.000
94.4979,-0.5174,,,,1,75,94.498,-0.517,0.000
96.1536,-0.4008,,,,1,76,96.154,-0.401,0.000
97.5232,-0.3035,,,,1,77,97.523,-0.304,0.000
98.5978,-0.2265,,,,1,78,98.598,-0.227,0.000
99.3705,-0.1708,,,,1,79,99.371,-0.171,0.000
99.8361,-0.137,,,,1,80,99.836,-0.137,0.000
99.9916,-0.1257,,,,1,81,99.992,-0.126,0.000
,,,,,,,,,
Camber line,,,,,,,,,
X(mm),Y(mm),,,,,,,,
0,0,,,,,,,,
0.086,0.34985,,,,,,,,
0.4833,0.215576,,,,,,,,
1.1907,0.264852,,,,,,,,
2.2051,0.345645,,,,,,,,
3.5214,0.452222,,,,,,,,
5.1324,0.58024,,,,,,,,
7.0289,0.72535,,,,,,,,
9.1996,0.882831,,,,,,,,
11.6313,1.047841,,,,,,,,
14.3088,1.214975,,,,,,,,
17.2151,1.378815,,,,,,,,
20.3313,1.533825,,,,,,,,
23.6371,1.674616,,,,,,,,
27.1106,1.795813,,,,,,,,
30.7289,1.892553,,,,,,,,
34.468,1.960421,,,,,,,,
38.3032,1.995646,,,,,,,,
42.1921,1.998018,,,,,,,,
46.1143,1.981365,,,,,,,,
50.0588,1.947593,,,,,,,,
54.0008,1.896831,,,,,,,,
57.9155,1.829184,,,,,,,,
61.7788,1.745692,,,,,,,,
65.5665,1.647421,,,,,,,,
69.2554,1.536249,,,,,,,,
72.8228,1.414028,,,,,,,,
76.2469,1.283025,,,,,,,,
79.5069,1.145858,,,,,,,,
82.583,1.005208,,,,,,,,
85.4565,0.863991,,,,,,,,
88.1104,0.725052,,,,,,,,
90.5287,0.591319,,,,,,,,
92.6971,0.465538,,,,,,,,
94.6027,0.35049,,,,,,,,
96.2343,0.248567,,,,,,,,
97.5825,0.161925,,,,,,,,
98.6392,0.092542,,,,,,,,
99.3984,0.041813,,,,,,,,
99.8557,0.010962,,,,,,,,
100.0084,0.06285,,,,,,,,
,,,,,,,,,
Chord line,,,,,,,,,
X(mm),Y(mm),,,,,,,,
0,0,,,,,,,,
100,0,,,,,,,,
